population_size,mutation_rate,elite_size,crossover_rate,run,best_fitness,generations
500,0.1,5,0.9,1,159600,741
500,0.1,5,0.9,2,158100,537
500,0.1,5,0.95,0,150600,314
500,0.1,5,0.95,1,153200,488
500,0.1,5,0.95,2,158700,453
500,0.1,10,0.7,0,158300,816
500,0.1,10,0.7,1,157600,414
500,0.1,10,0.7,2,155900,655
500,0.1,10,0.8,0,150800,698
500,0.1,10,0.8,1,155000,629
500,0.1,10,0.8,2,149800,253
500,0.1,10,0.9,0,155900,853
500,0.1,10,0.9,1,158800,363
500,0.1,10,0.9,2,154300,651
500,0.1,10,0.95,0,160400,275
500,0.1,10,0.95,1,151800,271
500,0.1,10,0.95,2,151800,295
500,0.1,20,0.7,0,151600,378
500,0.1,20,0.7,1,147600,271
500,0.1,20,0.7,2,148500,260
500,0.1,20,0.8,0,158600,432
500,0.1,20,0.8,1,159300,575
500,0.1,20,0.8,2,155700,254
500,0.1,20,0.9,0,152100,456
500,0.1,20,0.9,1,153800,690
500,0.1,20,0.9,2,152800,390
500,0.1,20,0.95,0,155100,440
500,0.1,20,0.95,1,157400,519
500,0.1,20,0.95,2,158600,354
500,0.2,5,0.7,0,155400,470
500,0.2,5,0.7,1,158800,682
500,0.2,5,0.7,2,156100,420
500,0.2,5,0.8,0,152800,645
500,0.2,5,0.8,1,153400,497
500,0.2,5,0.8,2,155600,291
500,0.2,5,0.9,0,154900,487
500,0.2,5,0.9,1,157900,462
500,0.2,5,0.9,2,156500,862
500,0.2,5,0.95,0,158100,781
500,0.2,5,0.95,1,155900,319
500,0.2,5,0.95,2,157100,292
500,0.2,10,0.7,0,157800,535
500,0.2,10,0.7,1,153700,572
500,0.2,10,0.7,2,149400,356
500,0.2,10,0.8,0,155700,283
500,0.2,10,0.8,1,156500,431
500,0.2,10,0.8,2,159800,416
500,0.2,10,0.9,0,156800,999
500,0.2,10,0.9,1,151400,560
500,0.2,10,0.9,2,152400,537
500,0.2,10,0.95,0,155300,350
500,0.2,10,0.95,1,155100,276
500,0.2,10,0.95,2,159800,370
500,0.2,20,0.7,0,154500,636
500,0.2,20,0.7,1,155200,415
500,0.2,20,0.7,2,163100,715
500,0.2,20,0.8,0,157300,570
500,0.2,20,0.8,1,156800,742
500,0.2,20,0.8,2,153300,329
500,0.2,20,0.9,0,161100,335
500,0.2,20,0.9,1,158100,501
500,0.2,20,0.9,2,148300,305
500,0.2,20,0.95,0,157900,400
500,0.2,20,0.95,1,157500,287
