population_size,mutation_rate,elite_size,crossover_rate,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations,std_generations
100,0.3,20,0.9,145233.33333333334,4761.885714247619,148700,138500,319.6666666666667,20.368821489936252
100,0.3,20,0.95,149166.66666666666,3498.8887124660346,153100,144600,383.3333333333333,93.93733135565552
200,0.05,5,0.7,147066.66666666666,543.6502143433363,147500,146300,376.0,125.4830665866913
200,0.05,5,0.8,153666.66666666666,1840.8935028645433,156000,151500,517.6666666666666,193.85447004275025
200,0.05,5,0.9,151866.66666666666,3873.2702232380097,155500,146500,507.6666666666667,157.40888016740212
200,0.05,5,0.95,156500.0,864.0987597877147,157300,155300,477.0,140.9704460752915
200,0.05,10,0.7,150400.0,3879.00330841141,155200,145700,432.3333333333333,130.80604811025452
200,0.05,10,0.8,150433.33333333334,2449.943310001728,153400,147400,441.0,54.043192602460735
200,0.05,10,0.9,150066.66666666666,4590.085934804369,156500,146100,488.3333333333333,120.261751562535
200,0.05,10,0.95,153366.66666666666,4001.1109568329757,158300,148500,450.3333333333333,70.9945224804155
200,0.05,20,0.7,150233.33333333334,980.9292646374773,151400,149000,587.3333333333334,215.72564881245705
200,0.05,20,0.8,151766.66666666666,1732.6921891156035,153500,149400,687.0,101.06433594498111
200,0.05,20,0.9,152033.33333333334,1554.2057635833023,154000,150200,460.6666666666667,73.14977025862001
200,0.05,20,0.95,155800.0,1019.803902718557,156800,154400,672.3333333333334,123.65902941376969
200,0.1,5,0.7,154666.66666666666,2898.6586936412887,158200,151100,438.6666666666667,132.92938810594978
200,0.1,5,0.8,155933.33333333334,2745.096638655105,159800,153700,641.3333333333334,161.4235285067067
200,0.1,5,0.9,156633.33333333334,3445.1253807211265,160000,151900,692.0,164.64709735269147
200,0.1,5,0.95,149700.0,1122.4972160321825,151200,148500,424.6666666666667,27.378012264508094
200,0.1,10,0.7,154300.0,3455.430508634199,158800,150400,484.3333333333333,137.52656309075553
200,0.1,10,0.8,151766.66666666666,3553.714801287364,156200,147500,654.3333333333334,244.30081639014
200,0.1,10,0.9,147400.0,571.5476066494083,148200,146900,332.6666666666667,67.4800382006083
200,0.1,10,0.95,153433.33333333334,1826.3503375736968,156000,151900,566.3333333333334,71.46249987852993
200,0.1,20,0.7,149533.33333333334,4754.17944783558,153800,142900,537.3333333333334,156.25904418269326
200,0.1,20,0.8,153300.0,3466.9871646719434,155900,148400,473.6666666666667,78.01851632073561
200,0.1,20,0.9,153333.33333333334,4634.891824220089,159300,148000,411.6666666666667,31.678944988044595
200,0.1,20,0.95,148700.0,3484.250278036869,153600,145800,388.3333333333333,53.543336549834926
200,0.2,5,0.7,150233.33333333334,5195.724738239657,154300,142900,382.0,39.30224760324359
200,0.2,5,0.8,154600.0,1067.707825203131,156100,153700,420.6666666666667,107.33540370674015
200,0.2,5,0.9,152433.33333333334,3029.1179500896883,155700,148400,577.3333333333334,77.4654044647602
200,0.2,5,0.95,155633.33333333334,3026.916289265731,159900,153200,447.0,76.37189710008956
200,0.2,10,0.7,153266.66666666666,5088.767587103537,159100,146700,396.3333333333333,136.76825492619096
200,0.2,10,0.8,153100.0,2628.0537792569367,156100,149700,452.6666666666667,137.1284880038507
